id | (int),unlock_location_id | ulocid (int),location_id | locid (int),parent_zone_id | pzid (int),level_id | lvid (int),node_id | nid (int),parent_zone | pz (string),level_node | ln (string),stage_name | sn (string),description | desc (string),stage_dialogue_group_id | sdgi (int),exp | exp (int),money | money (int),cost_stamina | cs (int),max_battlewave_count | mbc (int),max_mobs_battlewave | mbbl (int),normal_mob_group_id | nmgi (int),mob_level_difficulty | mld (string),final_boss_group_id | fbgi (int),boss_level_difficulty | bld (string),dungeon_level_variables | dlv (int),special_bonus_stage_group_id | sbsg (int),special_bonus_stage | sbs (string),loot_id | loi (int),
1,,10000101,1000,1,1,"Incarnam ","1-1","Need a Hero!","There are invading wabbits in the city. We need a hero who is willing to go through fire and brimstones to defeat them!","See stage_text",30,500,3,3,2,101,"1^1^1^1",1001,"2^1^1^1",0,,,1001
2,,10000102,1000,1,2,"Incarnam ","1-2","Praying for a Hero","We are praying for a hero and you have finally come. Our fears are now dispelled. ","See stage_text",40,500,3,3,2,101,"1^1^1^1",1002,"2^1^1^1",0,,,1001
3,,10000103,1000,1,3,"Incarnam ","1-3","Worthy Hero","There is only one way to prove that you can be a worthy hero and go to Astrub.","See stage_text",50,500,3,3,2,101,"1^1^1^1",1003,"2^1^1^1",0,,,1001
4,,11000101,1100,1,1,"Astrub ","1-1","A New World!","Astrub is the testing ground for new heroes. The city have become dangerous all of a sudden.","See stage_text",100,1000,5,5,2,102,"1^1^1^1",1004,"10^3^3^1",1,127,"3^3^3^1",1001
5,,11000102,1100,1,2,"Astrub ","1-2","Soul's Crossing","Unrest is brewing and a mysterious presence is felt by everyone.","See stage_text",100,1000,5,5,2,102,"1^1^1^1",1005,"10^3^3^1",1,127,"3^3^3^1",1001
6,,11000103,1100,1,3,"Astrub ","1-3","Old Astrub","Investigate Old Astrub dungeon for the recent strange happenings. ","See stage_text",100,1000,5,5,2,102,"1^1^1^1",1006,"10^3^3^1",1,127,"3^3^3^1",1001
7,,11000104,1100,1,4,"Astrub ","1-4","House of Trouble","In the sewers north of Astrub is the House of Trouble.","See stage_text",100,1000,5,5,2,102,"1^1^1^1",1007,"10^3^3^1",1,127,"3^3^3^1",1001
8,,11000105,1100,1,5,"Astrub ","1-5","A New Finding","The truth will always reveal to the determined.","See stage_text",200,1000,7,6,2,102,"1^1^1^1",1008,"10^3^3^1",1,127,"3^3^3^1",1001
9,,11000106,1100,1,6,"Astrub ","1-6","Destiny Calls","The presence of a mysterious Dark Force is in this place and you have a very bad ominous feeling. ","See stage_text",400,1000,9,7,2,102,"1^1^1^1",1009,"10^3^3^1",1,127,"3^3^3^1",1001
10,,12000101,1200,1,1,"Amakna","1-1","The Gobball Rampage","Gobballs are most harmless creatures but lately they have been on a rampage","See stage_text",100,1000,5,5,2,103,"1^1^1^1",1010,"10^3^3^1",1,127,"3^3^3^1",1001
