_id | (int),archtype_nameing | an (string),unit_name | un (string),next_evolve | ne (string),unit_element | ue (int),max_lv | ml (int),exp_mod | em (int),unit_growth | ug (int),rarity_tier | rt (int),evolve_materials | evm (int),no_of_evolve_times | net (int),cost | cost (int),start_speed | ss (int),attack_type | at (int),attack_frame_rate | afr (int),hp_min | hp_min (int),hp_max | hp_max (int),hp_gain | hp_gain (string),atk_min | atk_min (int),atk_max | atk_max (int),atk_gain | atk_gain (string),def_min | def_min (int),def_max | def_max (int),def_gain | def_gain (string),rec_min | rec_min (int),rec_max | rec_max (int),rec_gain | rec_gain (string),max_passive_skills_idx | mps (int),passive1 | pas1 (int),passive2 | pas2 (int),passive3 | pas3 (int),passive3 | pas3 (int),leadership | ls (int),active | active (int),skill_mana_cost | smc (int),skill_description | sd (string),
1.0,,Tiwabbit,,8.0,10.0,10.0,1.0,1.0,1,0.0,2.0,1.0,1,,,,10.0,,,2,,,2,,,2,2,15.0,30001.0,,,,20010.0,,3 hit combo single target earth attack
2.0,,Wabbit,Tiwabbit,3.0,25.0,10.0,1.0,2.0,1,1.0,4.0,2.0,1,,825.0,1065.0,10.0,450.0,498.0,2,450.0,498.0,2,495.0,543.0,2,2,12.0,30001.0,,,,20010.0,,3 hit combo single target earth attack
3.0,,Wa Wabbit,Wabbit,3.0,50.0,10.0,1.0,3.0,1,2.0,6.0,3.0,1,,1100.0,1611.0,10.0,700.0,819.0,2;3,700.0,819.0,2;3,770.0,889.0,2;3,2,12.0,30001.0,,,,20010.0,,3 hit combo single target earth attack
4.0,,Tiwodent,,6.0,10.0,10.0,1.0,1.0,1,0.0,2.0,4.0,1,,600.0,690.0,10.0,240.0,258.0,2,330.0,348.0,2,330.0,348.0,2,2,14.0,30001.0,,,,20011.0,,3 hit combo single target water attack
5.0,,Wodent,,6.0,25.0,10.0,1.0,2.0,1,1.0,4.0,,1,,750.0,990.0,10.0,360.0,408.0,2,495.0,543.0,2,495.0,543.0,2,2,10.0,30001.0,,,,20011.0,,3 hit combo single target water attack
6.0,,Dark Wodent,,6.0,50.0,10.0,1.0,3.0,1,2.0,6.0,,1,,1000.0,1511.0,10.0,560.0,679.0,2;3,770.0,889.0,2;3,770.0,889.0,2;3,2,15.0,30001.0,,,,20011.0,,3 hit combo single target water attack
7.0,,Black Tiwabbit,,7.0,10.0,10.0,1.0,1.0,1,0.0,2.0,,1,,540.0,630.0,10.0,300.0,318.0,2,300.0,318.0,2,330.0,348.0,2,2,15.0,30001.0,,,,20012.0,,3 hit combo multiple target dark attack
8.0,,Wabbit the Wich,,7.0,25.0,10.0,1.0,2.0,1,1.0,4.0,,1,,675.0,915.0,10.0,450.0,498.0,2,450.0,498.0,2,495.0,543.0,2,2,10.0,30001.0,,,,20012.0,,3 hit combo multiple target dark attack
9.0,,Black Wo Wabbit,,7.0,50.0,10.0,1.0,3.0,1,2.0,6.0,,1,,900.0,1411.0,10.0,700.0,819.0,2;3,700.0,819.0,2;3,770.0,889.0,2;3,2,13.0,30001.0,,,,20012.0,,3 hit combo multiple target dark attack
10.0,,Green Piwi,,3.0,40.0,10.0,1.0,2.0,1,0.0,4.0,,1,,990.0,1391.0,10.0,600.0,689.0,2;3,600.0,689.0,2;3,660.0,749.0,2;3,2,15.0,30001.0,,,10001.0,20001.0,,2 hit combo single target earth attack
